sku,product,date,day_of_week,month,is_weekend,holiday,season,lag_7,rolling_mean_7,current_stock,predicted_demand
BREAD-WHT,White Bread,2026-07-30,3,7,0,0,3,113.0,108.71428571428571,150,100
BREAD-WHT,White Bread,2026-07-31,4,7,0,0,3,98.0,106.86151904761904,150,104
BREAD-WHT,White Bread,2026-08-01,5,8,1,0,3,126.0,107.73710158730158,150,119
BREAD-WHT,White Bread,2026-08-02,6,8,1,0,3,117.0,106.68856371882086,150,118
BREAD-WHT,White Bread,2026-08-03,0,8,0,0,3,116.0,106.80415986394557,150,103
BREAD-WHT,White Bread,2026-08-04,1,8,0,0,3,90.0,104.95795646258503,150,103
BREAD-WHT,White Bread,2026-08-05,2,8,0,0,3,101.0,106.87544285714284,150,104
BREAD-WHT,White Bread,2026-08-06,3,8,0,0,3,100.03063333333334,107.34075918367346,150,104
BREAD-WHT,White Bread,2026-08-07,4,8,0,0,3,104.1290777777778,107.9552047619048,150,100
BREAD-WHT,White Bread,2026-08-08,5,8,1,0,3,118.66023492063496,107.42582448979594,150,118
BREAD-WHT,White Bread,2026-08-09,6,8,1,0,3,117.80917301587297,107.32943401360546,150,119
BREAD-WHT,White Bread,2026-08-10,0,8,0,0,3,103.07657619047625,107.56687210884357,150,105
BREAD-WHT,White Bread,2026-08-11,1,8,0,0,3,103.42240476190472,107.82412176870753,150,101
BREAD-WHT,White Bread,2026-08-12,2,8,0,0,3,104.25721428571435,107.4650607709751,150,102
BREAD-WHT,White Bread,2026-08-13,3,8,0,0,3,104.33175238095244,107.08600839002271,150,102
BREAD-WHT,White Bread,2026-08-14,4,8,0,0,3,100.4234158730159,106.77314308390025,150,104
BREAD-WHT,White Bread,2026-08-15,5,8,1,0,3,117.98550158730161,107.30959614512476,150,118
BREAD-WHT,White Bread,2026-08-16,6,8,1,0,3,119.47123968253966,107.31974036281183,150,119
BREAD-WHT,White Bread,2026-08-17,0,8,0,0,3,104.87732380952387,107.30434852607713,150,105
BREAD-WHT,White Bread,2026-08-18,1,8,0,0,3,100.90897777777782,107.32412947845809,150,104
BREAD-WHT,White Bread,2026-08-19,2,8,0,0,3,101.60384761904768,107.76543061224493,150,102
BREAD-WHT,White Bread,2026-08-20,3,8,0,0,3,102.14169523809524,107.85958571428576,150,102
BREAD-WHT,White Bread,2026-08-21,4,8,0,0,3,104.17858730158737,107.82301836734698,150,100
BREAD-WHT,White Bread,2026-08-22,5,8,1,0,3,118.05651111111112,107.29227959183676,150,118
BREAD-WHT,White Bread,2026-08-23,6,8,1,0,3,119.36349682539682,107.2772129251701,150,119
BREAD-WHT,White Bread,2026-08-24,0,8,0,0,3,105.01579047619053,107.27721292517013,150,105
BREAD-WHT,White Bread,2026-08-25,1,8,0,0,3,103.99808571428576,107.2982034013606,150,102
BREAD-WHT,White Bread,2026-08-26,2,8,0,0,3,102.26293333333342,106.9476682539683,150,103
BREAD-WHT,White Bread,2026-08-27,3,8,0,0,3,101.88572380952385,107.03583356009074,150,104
BREAD-WHT,White Bread,2026-08-28,4,8,0,0,3,100.46341587301589,107.29796757369618,150,103
CHIP-200,Potato Chips 200g,2026-07-30,3,7,0,0,3,64.0,63.0,620,59
CHIP-200,Potato Chips 200g,2026-07-31,4,7,0,0,3,61.0,62.34035396825397,620,59
CHIP-200,Potato Chips 200g,2026-08-01,5,8,1,0,3,78.0,62.04775236033809,620,61
CHIP-200,Potato Chips 200g,2026-08-02,6,8,1,0,3,66.0,59.64999861884149,620,59
CHIP-200,Potato Chips 200g,2026-08-03,0,8,0,0,3,56.0,58.590363698206566,620,59
CHIP-200,Potato Chips 200g,2026-08-04,1,8,0,0,3,65.0,59.0272810760668,620,56
CHIP-200,Potato Chips 200g,2026-08-05,2,8,0,0,3,51.0,57.795306163677594,620,53
CHIP-200,Potato Chips 200g,2026-08-06,3,8,0,0,3,59.38247777777781,58.15172793238508,620,60
CHIP-200,Potato Chips 200g,2026-08-07,4,8,0,0,3,58.95178874458878,58.17813518862091,620,60
CHIP-200,Potato Chips 200g,2026-08-08,5,8,1,0,3,61.2157238095238,58.357902102659246,620,62
CHIP-200,Potato Chips 200g,2026-08-09,6,8,1,0,3,58.58255555555557,58.44835357658214,620,62
CHIP-200,Potato Chips 200g,2026-08-10,0,8,0,0,3,59.058421645021625,58.89972727272727,620,57
CHIP-200,Potato Chips 200g,2026-08-11,1,8,0,0,3,56.37617561327557,58.5390361162647,620,59
