date,sku,product,quantity_sold,current_stock,price,holiday,season,weather,day_of_week,month,is_weekend,lag_7,rolling_mean_7
2026-01-31,BREAD-WHT,White Bread,97,150,34.0,0,1,Clear,5,1,1,,
2026-02-01,BREAD-WHT,White Bread,120,150,34.0,1,1,Clear,6,2,1,,
2026-02-02,BREAD-WHT,White Bread,97,150,34.0,0,1,Clear,0,2,0,,
2026-02-03,BREAD-WHT,White Bread,84,150,34.0,0,1,Clear,1,2,0,,104.66666666666667
2026-02-04,BREAD-WHT,White Bread,91,150,34.0,0,1,Clear,2,2,0,,99.5
2026-02-05,BREAD-WHT,White Bread,104,150,34.0,0,1,Clear,3,2,0,,97.8
2026-02-06,BREAD-WHT,White Bread,89,150,34.0,0,1,Clear,4,2,0,,98.83333333333333
2026-02-07,BREAD-WHT,White Bread,101,150,34.0,0,1,Clear,5,2,1,97.0,97.42857142857143
2026-02-08,BREAD-WHT,White Bread,109,150,34.0,0,1,Clear,6,2,1,120.0,98.0
2026-02-09,BREAD-WHT,White Bread,103,150,34.0,0,1,Clear,0,2,0,97.0,96.42857142857143
2026-02-10,BREAD-WHT,White Bread,98,150,34.0,0,1,Clear,1,2,0,84.0,97.28571428571429
2026-02-11,BREAD-WHT,White Bread,108,150,34.0,0,1,Clear,2,2,0,91.0,99.28571428571429
2026-02-12,BREAD-WHT,White Bread,105,150,34.0,0,1,Clear,3,2,0,104.0,101.71428571428571
2026-02-13,BREAD-WHT,White Bread,105,150,34.0,0,1,Clear,4,2,0,89.0,101.85714285714286
2026-02-14,BREAD-WHT,White Bread,116,150,34.0,0,1,Clear,5,2,1,101.0,104.14285714285714
2026-02-15,BREAD-WHT,White Bread,149,150,34.0,1,1,Clear,6,2,1,109.0,106.28571428571429
2026-02-16,BREAD-WHT,White Bread,99,150,34.0,0,1,Clear,0,2,0,103.0,112.0
2026-02-17,BREAD-WHT,White Bread,87,150,34.0,0,1,Clear,1,2,0,98.0,111.42857142857143
2026-02-18,BREAD-WHT,White Bread,113,150,34.0,0,1,Clear,2,2,0,108.0,109.85714285714286
2026-02-19,BREAD-WHT,White Bread,98,150,34.0,0,1,Clear,3,2,0,105.0,110.57142857142857
2026-02-20,BREAD-WHT,White Bread,102,150,34.0,0,1,Clear,4,2,0,105.0,109.57142857142857
2026-02-21,BREAD-WHT,White Bread,123,150,34.0,0,1,Clear,5,2,1,116.0,109.14285714285714
2026-02-22,BREAD-WHT,White Bread,102,150,34.0,0,1,Clear,6,2,1,149.0,110.14285714285714
2026-02-23,BREAD-WHT,White Bread,92,150,34.0,0,1,Clear,0,2,0,99.0,103.42857142857143
2026-02-24,BREAD-WHT,White Bread,89,150,34.0,0,1,Clear,1,2,0,87.0,102.42857142857143
2026-02-25,BREAD-WHT,White Bread,95,150,34.0,0,1,Clear,2,2,0,113.0,102.71428571428571
2026-02-26,BREAD-WHT,White Bread,103,150,34.0,0,1,Clear,3,2,0,98.0,100.14285714285714
2026-02-27,BREAD-WHT,White Bread,103,150,34.0,0,1,Clear,4,2,0,102.0,100.85714285714286
2026-02-28,BREAD-WHT,White Bread,112,150,34.0,0,1,Clear,5,2,1,123.0,101.0
2026-03-01,BREAD-WHT,White Bread,119,150,34.0,1,2,Clear,6,3,1,102.0,99.42857142857143
2026-03-02,BREAD-WHT,White Bread,81,150,34.0,0,2,Clear,0,3,0,92.0,101.85714285714286
2026-03-03,BREAD-WHT,White Bread,97,150,34.0,0,2,Clear,1,3,0,89.0,100.28571428571429
2026-03-04,BREAD-WHT,White Bread,92,150,34.0,0,2,Clear,2,3,0,95.0,101.42857142857143
2026-03-05,BREAD-WHT,White Bread,98,150,34.0,0,2,Clear,3,3,0,103.0,101.0
2026-03-06,BREAD-WHT,White Bread,98,150,34.0,0,2,Clear,4,3,0,103.0,100.28571428571429
2026-03-07,BREAD-WHT,White Bread,105,150,34.0,0,2,Clear,5,3,1,112.0,99.57142857142857
2026-03-08,BREAD-WHT,White Bread,108,150,34.0,0,2,Clear,6,3,1,119.0,98.57142857142857
2026-03-09,BREAD-WHT,White Bread,92,150,34.0,0,2,Clear,0,3,0,81.0,97.0
2026-03-10,BREAD-WHT,White Bread,93,150,34.0,0,2,Clear,1,3,0,97.0,98.57142857142857
2026-03-11,BREAD-WHT,White Bread,84,150,34.0,0,2,Clear,2,3,0,92.0,98.0
2026-03-12,BREAD-WHT,White Bread,86,150,34.0,0,2,Clear,3,3,0,98.0,96.85714285714286
2026-03-13,BREAD-WHT,White Bread,88,150,34.0,0,2,Clear,4,3,0,98.0,95.14285714285714
2026-03-14,BREAD-WHT,White Bread,102,150,34.0,0,2,Clear,5,3,1,105.0,93.71428571428571
2026-03-15,BREAD-WHT,White Bread,109,150,34.0,1,2,Clear,6,3,1,108.0,93.28571428571429
2026-03-16,BREAD-WHT,White Bread,87,150,34.0,0,2,Clear,0,3,0,92.0,93.42857142857143
2026-03-17,BREAD-WHT,White Bread,81,150,34.0,0,2,Clear,1,3,0,93.0,92.71428571428571
2026-03-18,BREAD-WHT,White Bread,81,150,34.0,0,2,Clear,2,3,0,84.0,91.0
2026-03-19,BREAD-WHT,White Bread,87,150,34.0,0,2,Clear,3,3,0,86.0,90.57142857142857
2026-03-20,BREAD-WHT,White Bread,67,150,34.0,0,2,Clear,4,3,0,88.0,90.71428571428571
2026-03-21,BREAD-WHT,White Bread,81,150,34.0,0,2,Clear,5,3,1,102.0,87.71428571428571
2026-03-22,BREAD-WHT,White Bread,79,150,34.0,0,2,Clear,6,3,1,109.0,84.71428571428571
2026-03-23,BREAD-WHT,White Bread,63,150,34.0,0,2,Clear,0,3,0,87.0,80.42857142857143
