sku_id,week_start,units_sold,revenue,product,category,subcategory,unit_cost,list_price,on_hand_units,on_order_units,lead_time_days,reorder_point,promo_flag,is_holiday,sku,date,quantity_sold,current_stock,price,holiday,week_of_year,month,season,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_28,rolling_std_28
BREAD-WHT,2026-02-09,343,11662.0,White Bread,Bakery,Sliced Bread,22.0,34.0,793,0,5,704,1,1,BREAD-WHT,2026-02-09,343,793,34.0,1,7,2,1,,,,,,0.0,,0.0,,0.0
BREAD-WHT,2026-02-16,698,23732.0,White Bread,Bakery,Sliced Bread,22.0,34.0,895,0,5,704,1,0,BREAD-WHT,2026-02-16,698,895,34.0,0,8,2,1,343.0,,,,343.0,0.0,343.0,0.0,343.0,0.0
BREAD-WHT,2026-02-23,796,27064.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1319,0,5,704,1,1,BREAD-WHT,2026-02-23,796,1319,34.0,1,9,2,1,698.0,,,,520.5,251.02290732122438,520.5,251.02290732122438,520.5,251.02290732122438
BREAD-WHT,2026-03-02,733,24922.0,White Bread,Bakery,Sliced Bread,22.0,34.0,651,1056,5,704,1,0,BREAD-WHT,2026-03-02,733,651,34.0,0,10,3,2,796.0,,,,612.3333333333334,238.34079242406938,612.3333333333334,238.34079242406938,612.3333333333334,238.34079242406938
BREAD-WHT,2026-03-09,731,24854.0,White Bread,Bakery,Sliced Bread,22.0,34.0,747,0,5,704,1,1,BREAD-WHT,2026-03-09,731,747,34.0,1,11,3,2,733.0,,,,642.5,203.7424845239696,642.5,203.7424845239696,642.5,203.7424845239696
BREAD-WHT,2026-03-16,689,23426.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1232,0,5,704,1,0,BREAD-WHT,2026-03-16,689,1232,34.0,0,12,3,2,731.0,,,,660.2,180.8305836964533,660.2,180.8305836964533,660.2,180.8305836964533
BREAD-WHT,2026-03-23,634,21556.0,White Bread,Bakery,Sliced Bread,22.0,34.0,682,1056,5,704,1,0,BREAD-WHT,2026-03-23,634,682,34.0,0,13,3,2,689.0,,,,665.0,162.16658102087496,665.0,162.16658102087496,665.0,162.16658102087496
BREAD-WHT,2026-03-30,591,20094.0,White Bread,Bakery,Sliced Bread,22.0,34.0,945,0,5,704,1,1,BREAD-WHT,2026-03-30,591,945,34.0,1,14,3,2,634.0,343.0,,,660.5714285714286,148.50012025007157,660.5714285714286,148.50012025007157,660.5714285714286,148.50012025007157
BREAD-WHT,2026-04-06,577,19618.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1524,0,5,704,1,0,BREAD-WHT,2026-04-06,577,1524,34.0,0,15,4,2,591.0,698.0,,,696.0,67.72001181334808,651.875,139.66739828197967,651.875,139.66739828197967
BREAD-WHT,2026-04-13,598,20332.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1011,0,5,704,1,1,BREAD-WHT,2026-04-13,598,1011,34.0,1,16,4,2,577.0,796.0,,,678.7142857142857,81.22133193875094,643.5555555555555,133.00950258450627,643.5555555555555,133.00950258450627
BREAD-WHT,2026-04-20,614,20876.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1268,0,5,704,1,0,BREAD-WHT,2026-04-20,614,1268,34.0,0,17,4,2,598.0,733.0,,,650.4285714285714,66.75791374525603,639.0,126.22730819174326,639.0,126.22730819174326
BREAD-WHT,2026-04-27,686,23324.0,White Bread,Bakery,Sliced Bread,22.0,34.0,705,0,5,704,1,1,BREAD-WHT,2026-04-27,686,705,34.0,1,18,4,2,614.0,731.0,,,633.4285714285714,56.60641054055374,636.7272727272727,119.98674169181436,636.7272727272727,119.98674169181436
BREAD-WHT,2026-05-04,714,24276.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1159,0,5,704,1,0,BREAD-WHT,2026-05-04,714,1159,34.0,0,19,5,2,686.0,689.0,,,627.0,45.055521304275224,640.8333333333334,115.28370801346273,640.8333333333334,115.28370801346273
BREAD-WHT,2026-05-11,814,27676.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1166,0,5,704,1,1,BREAD-WHT,2026-05-11,814,1166,34.0,1,20,5,2,714.0,634.0,,,630.5714285714286,51.341526866196524,646.4615384615385,112.22567693759999,646.4615384615385,112.22567693759999
BREAD-WHT,2026-05-18,748,25432.0,White Bread,Bakery,Sliced Bread,22.0,34.0,550,1056,5,704,1,0,BREAD-WHT,2026-05-18,748,550,34.0,0,21,5,2,814.0,591.0,343.0,,656.2857142857143,86.4305391354126,658.4285714285714,116.75069710594997,658.4285714285714,116.75069710594997
BREAD-WHT,2026-05-25,694,23596.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1019,0,5,704,1,0,BREAD-WHT,2026-05-25,694,1019,34.0,0,22,5,2,748.0,577.0,698.0,,678.7142857142857,87.03392879736472,687.3571428571429,75.45310019919874,664.4,114.85630774394338
BREAD-WHT,2026-06-01,717,24378.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1119,0,5,704,1,1,BREAD-WHT,2026-06-01,717,1119,34.0,1,23,6,3,694.0,598.0,796.0,,695.4285714285714,74.58967118588899,687.0714285714286,75.41726417912369,666.25,111.20821312594975
BREAD-WHT,2026-06-08,636,21624.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1653,0,5,704,1,0,BREAD-WHT,2026-06-08,636,1653,34.0,0,24,6,3,717.0,614.0,733.0,,712.4285714285714,61.00780590180546,681.4285714285714,69.3516283273028,669.2352941176471,108.37811668630613
BREAD-WHT,2026-06-15,613,20842.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1111,0,5,704,1,1,BREAD-WHT,2026-06-15,613,1111,34.0,1,25,6,3,636.0,686.0,731.0,,715.5714285714286,55.40113459384836,674.5,68.64484965833473,667.3888888888889,105.43363616032089
BREAD-WHT,2026-06-22,578,19652.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1404,0,5,704,1,0,BREAD-WHT,2026-06-22,578,1404,34.0,0,26,6,3,613.0,714.0,689.0,,705.1428571428571,67.45474673544363,666.0714285714286,68.41779377833298,664.5263157894736,103.22002842959232
BREAD-WHT,2026-06-29,596,20264.0,White Bread,Bakery,Sliced Bread,22.0,34.0,910,0,5,704,1,1,BREAD-WHT,2026-06-29,596,910,34.0,1,27,6,3,578.0,814.0,634.0,,685.7142857142857,82.40694607801424,658.1428571428571,71.89934967380772,660.2,102.31303873278733
BREAD-WHT,2026-07-06,610,20740.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1463,0,5,704,1,0,BREAD-WHT,2026-07-06,610,1463,34.0,0,28,7,3,596.0,748.0,591.0,,654.5714285714286,65.25298752511154,655.4285714285714,73.57854441209197,657.1428571428571,100.70168107548439
BREAD-WHT,2026-07-13,714,24276.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1596,0,5,704,1,1,BREAD-WHT,2026-07-13,714,1596,34.0,1,29,7,3,610.0,694.0,577.0,,634.8571428571429,51.776534490148194,656.7857142857143,72.46556590380175,655.0,98.78741003261692
BREAD-WHT,2026-07-20,724,24616.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1001,0,5,704,1,0,BREAD-WHT,2026-07-20,724,1001,34.0,0,30,7,3,714.0,717.0,598.0,,637.7142857142857,55.96640148551698,666.5714285714286,70.07327405126532,657.5652173913044,97.29702699697762
BREAD-WHT,2026-07-27,817,27778.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1416,0,5,704,1,1,BREAD-WHT,2026-07-27,817,1416,34.0,1,31,7,3,724.0,636.0,614.0,,638.7142857142857,57.65620604269828,675.5714285714286,68.66609765403135,660.3333333333334,96.11979240902271
BREAD-WHT,2026-08-03,733,24922.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1434,0,5,704,1,0,BREAD-WHT,2026-08-03,733,1434,34.0,0,32,8,3,817.0,613.0,686.0,,664.5714285714286,88.54727013081222,690.0714285714286,75.73380942557887,666.6,99.17576989029796
BREAD-WHT,2026-08-10,178,6052.0,White Bread,Bakery,Sliced Bread,22.0,34.0,1434,0,5,704,0,0,BREAD-WHT,2026-08-10,178,1434,34.0,0,33,8,3,733.0,578.0,714.0,,681.7142857142857,88.51499738408597,693.4285714285714,76.57647186934153,669.1538461538462,98.04068229370591
CHIP-200,2026-02-09,189,9072.0,Potato Chips 200g,Snacks,Chips,32.0,48.0,459,0,5,408,1,1,CHIP-200,2026-02-09,189,459,48.0,1,7,2,1,,,,,,0.0,,0.0,,0.0
CHIP-200,2026-02-16,394,18912.0,Potato Chips 200g,Snacks,Chips,32.0,48.0,539,0,5,408,1,0,CHIP-200,2026-02-16,394,539,48.0,0,8,2,1,189.0,,,,189.0,0.0,189.0,0.0,189.0,0.0
CHIP-200,2026-02-23,456,21888.0,Potato Chips 200g,Snacks,Chips,32.0,48.0,795,0,5,408,1,1,CHIP-200,2026-02-23,456,795,48.0,1,9,2,1,394.0,,,,291.5,144.95689014324225,291.5,144.95689014324225,291.5,144.95689014324225
CHIP-200,2026-03-02,413,19824.0,Potato Chips 200g,Snacks,Chips,32.0,48.0,409,0,5,408,1,0,CHIP-200,2026-03-02,413,409,48.0,0,10,3,2,456.0,,,,346.3333333333333,139.7366570851519,346.3333333333333,139.7366570851519,346.3333333333333,139.7366570851519
CHIP-200,2026-03-09,448,21504.0,Potato Chips 200g,Snacks,Chips,32.0,48.0,446,0,5,408,1,1,CHIP-200,2026-03-09,448,446,48.0,1,11,3,2,413.0,,,,363.0,118.86406802169725,363.0,118.86406802169725,363.0,118.86406802169725
CHIP-200,2026-03-16,412,19776.0,Potato Chips 200g,Snacks,Chips,32.0,48.0,718,0,5,408,1,0,CHIP-200,2026-03-16,412,718,48.0,0,12,3,2,448.0,,,,380.0,109.7337687314165,380.0,109.7337687314165,380.0,109.7337687314165
CHIP-200,2026-03-23,387,18576.0,Potato Chips 200g,Snacks,Chips,32.0,48.0,380,612,5,408,1,0,CHIP-200,2026-03-23,387,380,48.0,0,13,3,2,412.0,,,,385.3333333333333,99.01447705596726,385.3333333333333,99.01447705596726,385.3333333333333,99.01447705596726
