date,sku,product,quantity_sold,current_stock,price,holiday,season,weather
2026-01-31,MILK-1L,Milk 1L,137,420,42.0,0,1,Clear
2026-02-01,MILK-1L,Milk 1L,153,420,42.0,1,1,Clear
2026-02-02,MILK-1L,Milk 1L,128,420,42.0,0,1,Clear
2026-02-03,MILK-1L,Milk 1L,131,420,42.0,0,1,Clear
2026-02-04,MILK-1L,Milk 1L,112,420,42.0,0,1,Clear
2026-02-05,MILK-1L,Milk 1L,118,420,42.0,0,1,Clear
2026-02-06,MILK-1L,Milk 1L,129,420,42.0,0,1,Clear
2026-02-07,MILK-1L,Milk 1L,143,420,42.0,0,1,Clear
2026-02-08,MILK-1L,Milk 1L,147,420,42.0,0,1,Clear
2026-02-09,MILK-1L,Milk 1L,126,420,42.0,0,1,Clear
2026-02-10,MILK-1L,Milk 1L,139,420,42.0,0,1,Clear
2026-02-11,MILK-1L,Milk 1L,140,420,42.0,0,1,Clear
2026-02-12,MILK-1L,Milk 1L,135,420,42.0,0,1,Clear
2026-02-13,MILK-1L,Milk 1L,144,420,42.0,0,1,Clear
2026-02-14,MILK-1L,Milk 1L,156,420,42.0,0,1,Clear
2026-02-15,MILK-1L,Milk 1L,175,420,42.0,1,1,Clear
2026-02-16,MILK-1L,Milk 1L,140,420,42.0,0,1,Clear
2026-02-17,MILK-1L,Milk 1L,131,420,42.0,0,1,Clear
2026-02-18,MILK-1L,Milk 1L,144,420,42.0,0,1,Clear
2026-02-19,MILK-1L,Milk 1L,138,420,42.0,0,1,Clear
2026-02-20,MILK-1L,Milk 1L,137,420,42.0,0,1,Clear
2026-02-21,MILK-1L,Milk 1L,150,420,42.0,0,1,Clear
2026-02-22,MILK-1L,Milk 1L,163,420,42.0,0,1,Clear
2026-02-23,MILK-1L,Milk 1L,136,420,42.0,0,1,Clear
2026-02-24,MILK-1L,Milk 1L,134,420,42.0,0,1,Clear
2026-02-25,MILK-1L,Milk 1L,134,420,42.0,0,1,Clear
2026-02-26,MILK-1L,Milk 1L,140,420,42.0,0,1,Clear
2026-02-27,MILK-1L,Milk 1L,138,420,42.0,0,1,Clear
2026-02-28,MILK-1L,Milk 1L,153,420,42.0,0,1,Clear
2026-03-01,MILK-1L,Milk 1L,179,420,42.0,1,2,Clear
2026-03-02,MILK-1L,Milk 1L,147,420,42.0,0,2,Clear
2026-03-03,MILK-1L,Milk 1L,128,420,42.0,0,2,Clear
2026-03-04,MILK-1L,Milk 1L,126,420,42.0,0,2,Clear
