date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2026-02-13,MILK-1L,2518,0,7,1200
2026-02-16,MILK-1L,2051,0,7,1200
2026-02-19,MILK-1L,1686,0,7,1200
2026-02-22,MILK-1L,1243,0,7,1200
2026-02-25,MILK-1L,835,1440,7,1200
2026-02-28,MILK-1L,1849,0,7,1200
2026-03-03,MILK-1L,1349,0,7,1200
2026-03-06,MILK-1L,2383,0,7,1200
2026-03-09,MILK-1L,1912,0,7,1200
2026-03-12,MILK-1L,1507,0,7,1200
2026-03-15,MILK-1L,998,1440,7,1200
2026-03-18,MILK-1L,624,1440,7,1200
2026-03-21,MILK-1L,1671,0,7,1200
2026-03-24,MILK-1L,1279,0,7,1200
2026-03-27,MILK-1L,2369,0,7,1200
2026-03-30,MILK-1L,1982,0,7,1200
2026-04-02,MILK-1L,1596,0,7,1200
2026-04-05,MILK-1L,1227,0,7,1200
2026-04-08,MILK-1L,927,1440,7,1200
2026-04-11,MILK-1L,2042,0,7,1200
2026-04-14,MILK-1L,1707,0,7,1200
2026-04-17,MILK-1L,1340,0,7,1200
2026-04-20,MILK-1L,965,1440,7,1200
2026-04-23,MILK-1L,632,1440,7,1200
2026-04-26,MILK-1L,1696,0,7,1200
2026-04-29,MILK-1L,1335,0,7,1200
2026-05-02,MILK-1L,2333,0,7,1200
2026-05-05,MILK-1L,1916,0,7,1200
2026-05-08,MILK-1L,1536,0,7,1200
2026-05-11,MILK-1L,1079,1440,7,1200
2026-05-14,MILK-1L,666,1440,7,1200
2026-05-17,MILK-1L,1575,0,7,1200
2026-05-20,MILK-1L,1187,1440,7,1200
2026-05-23,MILK-1L,2211,0,7,1200
2026-05-26,MILK-1L,1762,0,7,1200
2026-05-29,MILK-1L,1370,0,7,1200
2026-06-01,MILK-1L,871,1440,7,1200
2026-06-04,MILK-1L,504,1440,7,1200
2026-06-07,MILK-1L,1541,0,7,1200
2026-06-10,MILK-1L,1194,1440,7,1200
2026-06-13,MILK-1L,2283,0,7,1200
2026-06-16,MILK-1L,1862,0,7,1200
2026-06-19,MILK-1L,1530,0,7,1200
2026-06-22,MILK-1L,1186,1440,7,1200
2026-06-25,MILK-1L,883,1440,7,1200
2026-06-28,MILK-1L,1980,0,7,1200
2026-07-01,MILK-1L,1600,0,7,1200
2026-07-04,MILK-1L,1254,0,7,1200
2026-07-07,MILK-1L,903,1440,7,1200
2026-07-10,MILK-1L,2009,0,7,1200
2026-07-13,MILK-1L,1600,0,7,1200
2026-07-16,MILK-1L,1193,1440,7,1200
2026-07-19,MILK-1L,2190,0,7,1200
2026-07-22,MILK-1L,1805,0,7,1200
2026-07-25,MILK-1L,1389,0,7,1200
2026-07-28,MILK-1L,946,1440,7,1200
2026-07-31,MILK-1L,1971,0,7,1200
2026-08-03,MILK-1L,1428,0,7,1200
2026-08-06,MILK-1L,1035,1440,7,1200
2026-08-09,MILK-1L,2002,0,7,1200
2026-02-13,RICE-5K,1211,0,10,754
2026-02-16,RICE-5K,982,0,10,754
2026-02-19,RICE-5K,787,0,10,754
2026-02-22,RICE-5K,575,696,10,754
2026-02-25,RICE-5K,1071,0,10,754
2026-02-28,RICE-5K,870,0,10,754
2026-03-03,RICE-5K,628,696,10,754
2026-03-06,RICE-5K,1118,0,10,754
2026-03-09,RICE-5K,899,0,10,754
2026-03-12,RICE-5K,715,696,10,754
2026-03-15,RICE-5K,1175,0,10,754
2026-03-18,RICE-5K,998,0,10,754
2026-03-21,RICE-5K,805,0,10,754
2026-03-24,RICE-5K,610,696,10,754
2026-03-27,RICE-5K,1138,0,10,754
2026-03-30,RICE-5K,955,0,10,754
2026-04-02,RICE-5K,755,0,10,754
2026-04-05,RICE-5K,1287,0,10,754
2026-04-08,RICE-5K,1133,0,10,754
2026-04-11,RICE-5K,992,0,10,754
2026-04-14,RICE-5K,838,0,10,754
2026-04-17,RICE-5K,678,696,10,754
2026-04-20,RICE-5K,501,696,10,754
2026-04-23,RICE-5K,323,696,10,754
2026-04-26,RICE-5K,821,0,10,754
2026-04-29,RICE-5K,652,696,10,754
2026-05-02,RICE-5K,440,696,10,754
2026-05-05,RICE-5K,943,0,10,754
2026-05-08,RICE-5K,754,0,10,754
2026-05-11,RICE-5K,525,696,10,754
2026-05-14,RICE-5K,1029,0,10,754
2026-05-17,RICE-5K,759,0,10,754
2026-05-20,RICE-5K,555,696,10,754
2026-05-23,RICE-5K,348,696,10,754
2026-05-26,RICE-5K,830,0,10,754
2026-05-29,RICE-5K,645,696,10,754
2026-06-01,RICE-5K,403,696,10,754
2026-06-04,RICE-5K,920,0,10,754
2026-06-07,RICE-5K,727,696,10,754
2026-06-10,RICE-5K,557,696,10,754
2026-06-13,RICE-5K,1082,0,10,754
2026-06-16,RICE-5K,888,0,10,754
2026-06-19,RICE-5K,742,696,10,754
2026-06-22,RICE-5K,551,696,10,754
2026-06-25,RICE-5K,1080,0,10,754
