date,sku_id,units_sold,revenue,unit_price,promo_flag
2026-02-13,MILK-1L,122,5124.0,42.0,0
2026-02-14,MILK-1L,131,5502.0,42.0,0
2026-02-15,MILK-1L,207,8694.0,42.0,1
2026-02-16,MILK-1L,129,5418.0,42.0,0
2026-02-17,MILK-1L,116,4872.0,42.0,0
2026-02-18,MILK-1L,120,5040.0,42.0,0
2026-02-19,MILK-1L,129,5418.0,42.0,0
2026-02-20,MILK-1L,128,5376.0,42.0,0
2026-02-21,MILK-1L,146,6132.0,42.0,0
2026-02-22,MILK-1L,169,7098.0,42.0,1
2026-02-23,MILK-1L,137,5754.0,42.0,0
2026-02-24,MILK-1L,137,5754.0,42.0,0
2026-02-25,MILK-1L,134,5628.0,42.0,0
2026-02-26,MILK-1L,140,5880.0,42.0,0
2026-02-27,MILK-1L,138,5796.0,42.0,0
2026-02-28,MILK-1L,148,6216.0,42.0,0
2026-03-01,MILK-1L,227,9534.0,42.0,1
2026-03-02,MILK-1L,132,5544.0,42.0,0
2026-03-03,MILK-1L,141,5922.0,42.0,0
2026-03-04,MILK-1L,137,5754.0,42.0,0
2026-03-05,MILK-1L,136,5712.0,42.0,0
2026-03-06,MILK-1L,133,5586.0,42.0,0
2026-03-07,MILK-1L,159,6678.0,42.0,0
2026-03-08,MILK-1L,179,7518.0,42.0,1
2026-03-09,MILK-1L,133,5586.0,42.0,0
2026-03-10,MILK-1L,133,5586.0,42.0,0
2026-03-11,MILK-1L,137,5754.0,42.0,0
2026-03-12,MILK-1L,135,5670.0,42.0,0
2026-03-13,MILK-1L,134,5628.0,42.0,0
2026-03-14,MILK-1L,149,6258.0,42.0,0
2026-03-15,MILK-1L,226,9492.0,42.0,1
2026-03-16,MILK-1L,127,5334.0,42.0,0
2026-03-17,MILK-1L,125,5250.0,42.0,0
2026-03-18,MILK-1L,122,5124.0,42.0,0
2026-03-19,MILK-1L,128,5376.0,42.0,0
2026-03-20,MILK-1L,129,5418.0,42.0,0
2026-03-21,MILK-1L,136,5712.0,42.0,0
2026-03-22,MILK-1L,156,6552.0,42.0,1
2026-03-23,MILK-1L,115,4830.0,42.0,0
2026-03-24,MILK-1L,121,5082.0,42.0,0
2026-03-25,MILK-1L,121,5082.0,42.0,0
2026-03-26,MILK-1L,118,4956.0,42.0,0
2026-03-27,MILK-1L,111,4662.0,42.0,0
2026-03-28,MILK-1L,128,5376.0,42.0,0
2026-03-29,MILK-1L,148,6216.0,42.0,1
2026-03-30,MILK-1L,111,4662.0,42.0,0
2026-03-31,MILK-1L,114,4788.0,42.0,0
2026-04-01,MILK-1L,161,6762.0,42.0,1
2026-04-02,MILK-1L,111,4662.0,42.0,0
2026-04-03,MILK-1L,107,4494.0,42.0,0
2026-04-04,MILK-1L,120,5040.0,42.0,0
2026-04-05,MILK-1L,142,5964.0,42.0,1
2026-04-06,MILK-1L,97,4074.0,42.0,0
2026-04-07,MILK-1L,102,4284.0,42.0,0
2026-04-08,MILK-1L,101,4242.0,42.0,0
2026-04-09,MILK-1L,100,4200.0,42.0,0
2026-04-10,MILK-1L,102,4284.0,42.0,0
2026-04-11,MILK-1L,123,5166.0,42.0,0
2026-04-12,MILK-1L,132,5544.0,42.0,1
2026-04-13,MILK-1L,108,4536.0,42.0,0
2026-04-14,MILK-1L,95,3990.0,42.0,0
2026-04-15,MILK-1L,152,6384.0,42.0,1
2026-04-16,MILK-1L,106,4452.0,42.0,0
2026-04-17,MILK-1L,109,4578.0,42.0,0
2026-04-18,MILK-1L,123,5166.0,42.0,0
2026-04-19,MILK-1L,146,6132.0,42.0,1
2026-04-20,MILK-1L,106,4452.0,42.0,0
2026-04-21,MILK-1L,107,4494.0,42.0,0
2026-04-22,MILK-1L,115,4830.0,42.0,0
2026-04-23,MILK-1L,111,4662.0,42.0,0
2026-04-24,MILK-1L,106,4452.0,42.0,0
2026-04-25,MILK-1L,122,5124.0,42.0,0
2026-04-26,MILK-1L,148,6216.0,42.0,1
2026-04-27,MILK-1L,119,4998.0,42.0,0
2026-04-28,MILK-1L,119,4998.0,42.0,0
2026-04-29,MILK-1L,123,5166.0,42.0,0
2026-04-30,MILK-1L,119,4998.0,42.0,0
2026-05-01,MILK-1L,181,7602.0,42.0,1
2026-05-02,MILK-1L,142,5964.0,42.0,0
